year,price,origin,destination,distance
"Feb
2021",76.18,BNA,EWR,748
"Feb
2021",92.39,BNA,EWR,748
"Mar
2021",105.58,BNA,EWR,748
"Mar
2021",104.18,BNA,EWR,748
"Mar
2021",250.9,BNA,EWR,748
"Mar
2021",74.79,BNA,EWR,748
"Apr
2021",322.78,BNA,EWR,748
"May
2021",76.18,BNA,EWR,748
"May
2021",426.05,BNA,EWR,748
"Jun
2021",257.17,BNA,EWR,748
"Jun
2021",203.57,BNA,EWR,748
"Jun
2021",105.39,BNA,EWR,748
"Jul
2021",182.77,BNA,EWR,748
"Jul
2021",160.57,BNA,EWR,748
"Aug
2021",140.58,BNA,EWR,748
"Aug
2021",170.78,BNA,EWR,748
"Aug
2021",124.78,BNA,EWR,748
year,price,origin,destination,distance
"Nov
2020",135.2,BNA,FLL,793
"Nov
2020",134.18,BNA,FLL,793
"Dec
2020",50.38,BNA,FLL,793
"Dec
2020",44.18,BNA,FLL,793
"Dec
2020",42.29,BNA,FLL,793
"Dec
2020",52.18,BNA,FLL,793
"Jan
2021",56.18,BNA,FLL,793
"Jan
2021",43.67,BNA,FLL,793
"Jan
2021",36.18,BNA,FLL,793
"Jan
2021",73.18,BNA,FLL,793
"Feb
2021",45.55,BNA,FLL,793
"Feb
2021",36.18,BNA,FLL,793
"Mar
2021",66.79,BNA,FLL,793
"Mar
2021",64.99,BNA,FLL,793
"Mar
2021",174.18,BNA,FLL,793
"Apr
2021",60.98,BNA,FLL,793
"Apr
2021",91.79,BNA,FLL,793
"Apr
2021",49.8,BNA,FLL,793
"May
2021",83.79,BNA,FLL,793
"May
2021",118.16,BNA,FLL,793
"Jun
2021",122.78,BNA,FLL,793
"Jun
2021",122.78,BNA,FLL,793
"Jul
2021",142.78,BNA,FLL,793
"Jul
2021",101.59,BNA,FLL,793
"Jul
2021",123.54,BNA,FLL,793
"Aug
2021",73.08,BNA,FLL,793
"Aug
2021",60.98,BNA,FLL,793
"Aug
2021",196.15,BNA,FLL,793
year,price,origin,destination,distance
"Nov
2020",900.2,BNA,IAD,542
"Nov
2020",1997.11,BNA,IAD,542
"Dec
2020",402.78,BNA,IAD,542
"Jan
2021",5104.41,BNA,IAD,542
"Feb
2021",5031.05,BNA,IAD,542
"Feb
2021",5036.81,BNA,IAD,542
"Mar
2021",352.27,BNA,IAD,542
"Apr
2021",1482.41,BNA,IAD,542
"Apr
2021",576.55,BNA,IAD,542
"Apr
2021",361.58,BNA,IAD,542
"Jun
2021",391.58,BNA,IAD,542
"Jul
2021",853.61,BNA,IAD,542
"Jul
2021",347.55,BNA,IAD,542
"Sep
2021",451.58,BNA,IAD,542
year,price,origin,destination,distance
"Nov
2020",96.16,BNA,IAH,657
"Nov
2020",158.16,BNA,IAH,657
"Dec
2020",100.16,BNA,IAH,657
"Jan
2021",100.38,BNA,IAH,657
"Feb
2021",104.18,BNA,IAH,657
"Feb
2021",113.38,BNA,IAH,657
"Feb
2021",106.18,BNA,IAH,657
"Feb
2021",102.39,BNA,IAH,657
"Apr
2021",83.39,BNA,IAH,657
"Apr
2021",92.39,BNA,IAH,657
"May
2021",179.63,BNA,IAH,657
"Jun
2021",226.36,BNA,IAH,657
"Jul
2021",242.35,BNA,IAH,657
"Jul
2021",292.36,BNA,IAH,657
"Aug
2021",272.02,BNA,IAH,657
"Sep
2021",241.35,BNA,IAH,657
"Oct
2021",326.37,BNA,IAH,657
year,price,origin,destination,distance
"Nov
2020",272.71,BNA,JFK,765
"Dec
2020",1026.2,BNA,JFK,765
"Jan
2021",6342.5,BNA,JFK,765
"Mar
2021",410.4,BNA,JFK,765
"Apr
2021",438.41,BNA,JFK,765
"Apr
2021",290.46,BNA,JFK,765
"Apr
2021",482.4,BNA,JFK,765
"May
2021",460.39,BNA,JFK,765
"Jun
2021",353.5,BNA,JFK,765
"Jun
2021",436.58,BNA,JFK,765
"Jul
2021",698.39,BNA,JFK,765
"Aug
2021",383.59,BNA,JFK,765
year,price,origin,destination,distance
"Nov
2020",117.48,BNA,LAS,1587
"Dec
2020",112.18,BNA,LAS,1587
"Jan
2021",102.78,BNA,LAS,1587
"Feb
2021",112.18,BNA,LAS,1587
"Mar
2021",117.08,BNA,LAS,1587
"Mar
2021",122.78,BNA,LAS,1587
"Apr
2021",80,BNA,LAS,1587
"Apr
2021",165.01,BNA,LAS,1587
"May
2021",80,BNA,LAS,1587
"May
2021",248.85,BNA,LAS,1587
"Jun
2021",121.65,BNA,LAS,1587
"Jun
2021",202.78,BNA,LAS,1587
"Jul
2021",203.67,BNA,LAS,1587
"Jul
2021",217.78,BNA,LAS,1587
"Aug
2021",135.77,BNA,LAS,1587
year,price,origin,destination,distance
"Nov
2020",122.18,BNA,LAX,1797
"Nov
2020",152.18,BNA,LAX,1797
"Nov
2020",198.67,BNA,LAX,1797
"Dec
2020",82.2,BNA,LAX,1797
"Dec
2020",100,BNA,LAX,1797
"Feb
2021",132.77,BNA,LAX,1797
"Feb
2021",113.48,BNA,LAX,1797
"Mar
2021",191.95,BNA,LAX,1797
"Mar
2021",99.36,BNA,LAX,1797
"Mar
2021",107.58,BNA,LAX,1797
"Apr
2021",293.09,BNA,LAX,1797
"Apr
2021",99.36,BNA,LAX,1797
"May
2021",171.87,BNA,LAX,1797
"May
2021",138.39,BNA,LAX,1797
"Jun
2021",220.05,BNA,LAX,1797
"Jun
2021",153.18,BNA,LAX,1797
"Jul
2021",242.78,BNA,LAX,1797
"Jul
2021",162.78,BNA,LAX,1797
"Aug
2021",225.77,BNA,LAX,1797
"Sep
2021",185.28,BNA,LAX,1797
year,price,origin,destination,distance
"Nov
2020",205.16,BNA,LGA,764
"Dec
2020",201.22,BNA,LGA,764
"Jan
2021",185.29,BNA,LGA,764
"Jan
2021",147.16,BNA,LGA,764
"Jan
2021",64.16,BNA,LGA,764
"Jan
2021",8119.86,BNA,LGA,764
"Feb
2021",104.16,BNA,LGA,764
"Feb
2021",93.39,BNA,LGA,764
"Mar
2021",124.58,BNA,LGA,764
"Mar
2021",157.86,BNA,LGA,764
"Mar
2021",125.38,BNA,LGA,764
"Apr
2021",315.35,BNA,LGA,764
"Jun
2021",89.79,BNA,LGA,764
"Jun
2021",160.78,BNA,LGA,764
"Aug
2021",127.78,BNA,LGA,764
year,price,origin,destination,distance
"Nov
2020",158.19,BNA,MCO,616
"Dec
2020",88.49,BNA,MCO,616
"Dec
2020",89.19,BNA,MCO,616
"Dec
2020",76.18,BNA,MCO,616
"Jan
2021",91.67,BNA,MCO,616
"Feb
2021",104.18,BNA,MCO,616
"Mar
2021",127.8,BNA,MCO,616
"Mar
2021",86.79,BNA,MCO,616
"Apr
2021",114.79,BNA,MCO,616
"Apr
2021",78.17,BNA,MCO,616
"May
2021",70.86,BNA,MCO,616
"May
2021",129.58,BNA,MCO,616
"Jul
2021",263.77,BNA,MCO,616
"Jul
2021",144.78,BNA,MCO,616
"Jul
2021",142.97,BNA,MCO,616
"Aug
2021",198.98,BNA,MCO,616
"Sep
2021",144.16,BNA,MCO,616
year,price,origin,destination,distance
"Nov
2020",347.2,BNA,MIA,806
"Nov
2020",307.2,BNA,MIA,806
"Dec
2020",328.36,BNA,MIA,806
"Dec
2020",152.2,BNA,MIA,806
"Jan
2021",82.2,BNA,MIA,806
"Feb
2021",227.52,BNA,MIA,806
"Mar
2021",161.1,BNA,MIA,806
"Apr
2021",421.47,BNA,MIA,806
"Apr
2021",409.21,BNA,MIA,806
"Apr
2021",441.47,BNA,MIA,806
"Apr
2021",409.21,BNA,MIA,806
"May
2021",409.21,BNA,MIA,806
"May
2021",409.21,BNA,MIA,806
"Jun
2021",409.21,BNA,MIA,806
"Jun
2021",409.21,BNA,MIA,806
"Jul
2021",415.53,BNA,MIA,806
"Jul
2021",415.53,BNA,MIA,806
"Aug
2021",415.53,BNA,MIA,806
year,price,origin,destination,distance
"Nov
2020",126.2,BNA,MSP,695
"Nov
2020",303.16,BNA,MSP,695
"Dec
2020",434.43,BNA,MSP,695
"Dec
2020",104.16,BNA,MSP,695
"Jan
2021",80.16,BNA,MSP,695
"Feb
2021",231.36,BNA,MSP,695
"Feb
2021",191.16,BNA,MSP,695
"Apr
2021",314.18,BNA,MSP,695
"May
2021",230.36,BNA,MSP,695
"Jun
2021",330.26,BNA,MSP,695
"Jun
2021",273.36,BNA,MSP,695
"Jul
2021",367.72,BNA,MSP,695
"Aug
2021",309.81,BNA,MSP,695
"Aug
2021",253.81,BNA,MSP,695
"Sep
2021",498.59,BNA,MSP,695
year,price,origin,destination,distance
"Nov
2020",173.16,BNA,ORD,409
"Dec
2020",141.16,BNA,ORD,409
"Dec
2020",144.16,BNA,ORD,409
"Dec
2020",125.16,BNA,ORD,409
"Jan
2021",141.16,BNA,ORD,409
"Feb
2021",126.16,BNA,ORD,409
"Feb
2021",126.36,BNA,ORD,409
"Mar
2021",224.37,BNA,ORD,409
"Apr
2021",290.45,BNA,ORD,409
"Apr
2021",84.39,BNA,ORD,409
"May
2021",109.39,BNA,ORD,409
"Jun
2021",254.36,BNA,ORD,409
"Jul
2021",274.36,BNA,ORD,409
"Aug
2021",304.35,BNA,ORD,409
"Aug
2021",241.35,BNA,ORD,409
"Aug
2021",184.37,BNA,ORD,409
year,price,origin,destination,distance
"Nov
2020",316.58,BNA,PHL,675
"Nov
2020",217.16,BNA,PHL,675
"Dec
2020",115.38,BNA,PHL,675
"Dec
2020",70.68,BNA,PHL,675
"Jan
2021",81.16,BNA,PHL,675
"Jan
2021",7226.54,BNA,PHL,675
"Feb
2021",82.39,BNA,PHL,675
"Feb
2021",83.39,BNA,PHL,675
"Mar
2021",103.39,BNA,PHL,675
"Apr
2021",80.39,BNA,PHL,675
"May
2021",280.13,BNA,PHL,675
"Jun
2021",249.01,BNA,PHL,675
"Jun
2021",304.36,BNA,PHL,675
"Jul
2021",316.36,BNA,PHL,675
"Jul
2021",266.92,BNA,PHL,675
"Aug
2021",158.38,BNA,PHL,675
"Aug
2021",181.46,BNA,PHL,675
"Sep
2021",246.35,BNA,PHL,675
year,price,origin,destination,distance
"Apr
2009",226.4,BNA,PHX,1449
"Apr
2009",235.89,BNA,PHX,1449
"May
2009",231.39,BNA,PHX,1449
"Jun
2009",238.9,BNA,PHX,1449
"Jul
2009",323.89,BNA,PHX,1449
"Jul
2009",261.89,BNA,PHX,1449
"Aug
2009",222.39,BNA,PHX,1449
"Sep
2009",227.4,BNA,PHX,1449
"Oct
2009",218.9,BNA,PHX,1449
"Oct
2009",212.9,BNA,PHX,1449
"Dec
2009",346.9,BNA,PHX,1449
"Dec
2009",453.9,BNA,PHX,1449
"Dec
2009",544.4,BNA,PHX,1449
"Jan
2010",232.39,BNA,PHX,1449
"Jan
2010",229,BNA,PHX,1449
"Mar
2010",275.8,BNA,PHX,1449
"Mar
2010",388.8,BNA,PHX,1449
"Apr
2010",261,BNA,PHX,1449
year,price,origin,destination,distance
"Aug
2021",402.35,BNA,SAN,1751
,,,,
year,price,origin,destination,distance
"Nov
2020",614.2,BNA,SEA,1978
"Dec
2020",205.16,BNA,SEA,1978
"Jan
2021",137.2,BNA,SEA,1978
"Jan
2021",246.78,BNA,SEA,1978
"Jan
2021",300.7,BNA,SEA,1978
"Jan
2021",350.43,BNA,SEA,1978
"Feb
2021",349.07,BNA,SEA,1978
"Mar
2021",166.37,BNA,SEA,1978
"Apr
2021",236.8,BNA,SEA,1978
"May
2021",226.39,BNA,SEA,1978
"Jun
2021",316.84,BNA,SEA,1978
"Jun
2021",303.6,BNA,SEA,1978
"Jul
2021",336.81,BNA,SEA,1978
"Aug
2021",196.8,BNA,SEA,1978
"Oct
2021",226.8,BNA,SEA,1978
year,price,origin,destination,distance
"Nov
2020",262.2,BNA,SFO,1968
"Dec
2020",177.2,BNA,SFO,1968
"Dec
2020",288.3,BNA,SFO,1968
"Dec
2020",346.8,BNA,SFO,1968
"Jan
2021",373.7,BNA,SFO,1968
"Feb
2021",378.7,BNA,SFO,1968
"Feb
2021",574.73,BNA,SFO,1968
"Feb
2021",217.22,BNA,SFO,1968
"Mar
2021",292.89,BNA,SFO,1968
"Mar
2021",335.62,BNA,SFO,1968
"Apr
2021",262.91,BNA,SFO,1968
"Apr
2021",309.42,BNA,SFO,1968
"May
2021",309.9,BNA,SFO,1968
"Jun
2021",404.9,BNA,SFO,1968
"Jul
2021",394.56,BNA,SFO,1968
"Jul
2021",359.93,BNA,SFO,1968
"Aug
2021",345.25,BNA,SFO,1968
,,,,
year,price,origin,destination,distance
"Nov
2020",172.2,BNA,SLC,1404
"Nov
2020",307.8,BNA,SLC,1404
"Dec
2020",177.2,BNA,SLC,1404
"Dec
2020",592.8,BNA,SLC,1404
"Dec
2020",270.8,BNA,SLC,1404
"Jan
2021",375.2,BNA,SLC,1404
"Feb
2021",201.8,BNA,SLC,1404
"Feb
2021",265.2,BNA,SLC,1404
"Mar
2021",303.22,BNA,SLC,1404
"Mar
2021",233.73,BNA,SLC,1404
"Apr
2021",338.26,BNA,SLC,1404
"Apr
2021",292.17,BNA,SLC,1404
"May
2021",362,BNA,SLC,1404
"May
2021",270.41,BNA,SLC,1404
"Jun
2021",323.21,BNA,SLC,1404
"Jun
2021",303.22,BNA,SLC,1404
"Jun
2021",413.47,BNA,SLC,1404
"Jul
2021",396.57,BNA,SLC,1404
"Jul
2021",351.03,BNA,SLC,1404
"Jul
2021",388.5,BNA,SLC,1404
"Aug
2021",331.4,BNA,SLC,1404
"Aug
2021",305.59,BNA,SLC,1404
year,price,origin,destination,distance
"Nov
2020",134.8,BNA,STL,272
"Nov
2020",124.8,BNA,STL,272
"Dec
2020",144.8,BNA,STL,272
"Jan
2021",124.8,BNA,STL,272
"Jan
2021",124.8,BNA,STL,272
"Feb
2021",124.8,BNA,STL,272
"Feb
2021",127.82,BNA,STL,272
"Feb
2021",124.8,BNA,STL,272
"Mar
2021",412.79,BNA,STL,272
"Mar
2021",412.79,BNA,STL,272
"Apr
2021",403.2,BNA,STL,272
"May
2021",402.4,BNA,STL,272
"May
2021",398.58,BNA,STL,272
"May
2021",342.36,BNA,STL,272
"Jun
2021",325.36,BNA,STL,272
"Jul
2021",355.36,BNA,STL,272
"Jul
2021",254.36,BNA,STL,272
"Aug
2021",274.35,BNA,STL,272
"Aug
2021",295.36,BNA,STL,272
"Sep
2021",324.35,BNA,STL,272
year,price,origin,destination,distance
"Feb
2009",499.39,BNA,TPA,612
"Feb
2009",198.9,BNA,TPA,612
"Mar
2009",163.9,BNA,TPA,612
"Apr
2009",428.39,BNA,TPA,612
"Apr
2009",415.39,BNA,TPA,612
"Apr
2009",160.9,BNA,TPA,612
"May
2009",213.89,BNA,TPA,612
"May
2009",260.9,BNA,TPA,612
"May
2009",228.39,BNA,TPA,612
"Jun
2009",341.9,BNA,TPA,612
"Jun
2009",182.9,BNA,TPA,612
"Jul
2009",237.39,BNA,TPA,612
"Aug
2009",295.9,BNA,TPA,612
"Oct
2009",298.4,BNA,TPA,612
"Oct
2009",364.4,BNA,TPA,612
"Nov
2009",405.9,BNA,TPA,612
"Dec
2009",236.9,BNA,TPA,612
"Feb
2010",246.3,BNA,TPA,612
year,price,origin,destination,distance
"Nov
2020",102.78,BWI,ATL,577
"Nov
2020",101.39,BWI,ATL,577
"Nov
2020",140.16,BWI,ATL,577
"Nov
2020",99.18,BWI,ATL,577
"Dec
2020",76.67,BWI,ATL,577
"Dec
2020",82.58,BWI,ATL,577
"Dec
2020",74.58,BWI,ATL,577
"Dec
2020",74.58,BWI,ATL,577
"Jan
2021",68.67,BWI,ATL,577
"Jan
2021",84.67,BWI,ATL,577
"Jan
2021",74.58,BWI,ATL,577
"Jan
2021",82.58,BWI,ATL,577
"Feb
2021",68.67,BWI,ATL,577
"Feb
2021",74.58,BWI,ATL,577
"Feb
2021",74.58,BWI,ATL,577
"Mar
2021",70.59,BWI,ATL,577
"Mar
2021",112.38,BWI,ATL,577
"Apr
2021",86.79,BWI,ATL,577
"Apr
2021",60.98,BWI,ATL,577
"Apr
2021",65.79,BWI,ATL,577
"Jun
2021",126.57,BWI,ATL,577
"Jun
2021",107.78,BWI,ATL,577
"Jun
2021",121.87,BWI,ATL,577
"Jun
2021",132.78,BWI,ATL,577
"Jul
2021",104.78,BWI,ATL,577
"Jul
2021",114.98,BWI,ATL,577
"Jul
2021",250.78,BWI,ATL,577
"Aug
2021",162.98,BWI,ATL,577
"Aug
2021",85.18,BWI,ATL,577
"Aug
2021",86.79,BWI,ATL,577
"Sep
2021",122.35,BWI,ATL,577
"Sep
2021",170.78,BWI,ATL,577
year,price,origin,destination,distance
"Nov
2020",117.16,BWI,BNA,587
"Nov
2020",178.15,BWI,BNA,587
"Dec
2020",103.67,BWI,BNA,587
"Dec
2020",76.18,BWI,BNA,587
"Dec
2020",119.16,BWI,BNA,587
"Dec
2020",111.67,BWI,BNA,587
"Jan
2021",121.16,BWI,BNA,587
"Jan
2021",77.16,BWI,BNA,587
"Feb
2021",76.67,BWI,BNA,587
"Feb
2021",76.18,BWI,BNA,587
"Feb
2021",76.18,BWI,BNA,587
"Feb
2021",117.38,BWI,BNA,587
"Mar
2021",92.59,BWI,BNA,587
"Mar
2021",86.79,BWI,BNA,587
"Mar
2021",86.79,BWI,BNA,587
"Apr
2021",152.18,BWI,BNA,587
"Apr
2021",86.79,BWI,BNA,587
"Apr
2021",116.8,BWI,BNA,587
"May
2021",342.1,BWI,BNA,587
"May
2021",181.37,BWI,BNA,587
"May
2021",257.36,BWI,BNA,587
"Jun
2021",407.36,BWI,BNA,587
"Jun
2021",268.37,BWI,BNA,587
"Jul
2021",277.35,BWI,BNA,587
"Aug
2021",194.36,BWI,BNA,587
"Aug
2021",256.36,BWI,BNA,587
"Sep
2021",238.35,BWI,BNA,587
"Sep
2021",423.58,BWI,BNA,587
year,price,origin,destination,distance
"Nov
2020",74.58,BWI,BOS,369
"Nov
2020",76.18,BWI,BOS,369
"Nov
2020",62.48,BWI,BOS,369
"Nov
2020",76.18,BWI,BOS,369
