year,price,origin,destination,distance
"Feb
2021",98.39,BOS,DFW,1562
"Feb
2021",373.66,BOS,DFW,1562
"Mar
2021",523.16,BOS,DFW,1562
"Mar
2021",138.38,BOS,DFW,1562
"Apr
2021",105.39,BOS,DFW,1562
"May
2021",103.58,BOS,DFW,1562
"Jul
2021",223.86,BOS,DFW,1562
"Aug
2021",330.85,BOS,DFW,1562
year,price,origin,destination,distance
"Nov
2020",96.67,BOS,DTW,632
"Nov
2020",96.67,BOS,DTW,632
"Nov
2020",124.16,BOS,DTW,632
"Nov
2020",185.16,BOS,DTW,632
"Dec
2020",116.16,BOS,DTW,632
"Dec
2020",159.16,BOS,DTW,632
"Dec
2020",85.16,BOS,DTW,632
"Dec
2020",131.16,BOS,DTW,632
"Jan
2021",129.16,BOS,DTW,632
"Jan
2021",131.16,BOS,DTW,632
"Jan
2021",106.89,BOS,DTW,632
"Feb
2021",131.16,BOS,DTW,632
"Mar
2021",109.39,BOS,DTW,632
"Mar
2021",170.37,BOS,DTW,632
"Apr
2021",269.38,BOS,DTW,632
"Apr
2021",162.37,BOS,DTW,632
"May
2021",91.59,BOS,DTW,632
"May
2021",161.49,BOS,DTW,632
"May
2021",144.33,BOS,DTW,632
"Jun
2021",243.36,BOS,DTW,632
"Jun
2021",176.94,BOS,DTW,632
"Jul
2021",245.74,BOS,DTW,632
"Jul
2021",148.76,BOS,DTW,632
"Aug
2021",153.37,BOS,DTW,632
"Sep
2021",155.44,BOS,DTW,632
"Sep
2021",86,BOS,DTW,632
"Sep
2021",86,BOS,DTW,632
year,price,origin,destination,distance
"Nov
2020",96.2,BOS,EWR,200
"Nov
2020",86.7,BOS,EWR,200
"Nov
2020",64.18,BOS,EWR,200
"Nov
2020",52.18,BOS,EWR,200
"Dec
2020",44.18,BOS,EWR,200
"Dec
2020",64.18,BOS,EWR,200
"Dec
2020",48.18,BOS,EWR,200
"Dec
2020",56.18,BOS,EWR,200
"Jan
2021",84.18,BOS,EWR,200
"Jan
2021",71.18,BOS,EWR,200
"Jan
2021",60.18,BOS,EWR,200
"Feb
2021",53.55,BOS,EWR,200
"Feb
2021",76.18,BOS,EWR,200
"Mar
2021",126.79,BOS,EWR,200
"Mar
2021",66.79,BOS,EWR,200
"Apr
2021",57.79,BOS,EWR,200
"May
2021",49.8,BOS,EWR,200
"May
2021",86.79,BOS,EWR,200
"Jul
2021",86.79,BOS,EWR,200
"Aug
2021",86.79,BOS,EWR,200
"Aug
2021",86.79,BOS,EWR,200
"Aug
2021",65.79,BOS,EWR,200
"Sep
2021",176.78,BOS,EWR,200
"Sep
2021",49.8,BOS,EWR,200
year,price,origin,destination,distance
"Nov
2020",52.18,BOS,FLL,1237
"Nov
2020",50.2,BOS,FLL,1237
"Nov
2020",52.18,BOS,FLL,1237
"Nov
2020",50.2,BOS,FLL,1237
"Dec
2020",40.2,BOS,FLL,1237
"Dec
2020",50.2,BOS,FLL,1237
"Dec
2020",96.2,BOS,FLL,1237
"Dec
2020",96.16,BOS,FLL,1237
"Dec
2020",78.18,BOS,FLL,1237
"Jan
2021",44.18,BOS,FLL,1237
"Jan
2021",36.18,BOS,FLL,1237
"Jan
2021",36.18,BOS,FLL,1237
"Jan
2021",36.18,BOS,FLL,1237
"Feb
2021",36.18,BOS,FLL,1237
"Feb
2021",76.18,BOS,FLL,1237
"Feb
2021",46.8,BOS,FLL,1237
"Feb
2021",46.8,BOS,FLL,1237
"Mar
2021",46.8,BOS,FLL,1237
"Mar
2021",66.79,BOS,FLL,1237
"Mar
2021",146.79,BOS,FLL,1237
"Mar
2021",167.79,BOS,FLL,1237
"Apr
2021",699.78,BOS,FLL,1237
"Apr
2021",57.79,BOS,FLL,1237
"May
2021",57.79,BOS,FLL,1237
"May
2021",99.36,BOS,FLL,1237
"May
2021",87.26,BOS,FLL,1237
"Jun
2021",169.78,BOS,FLL,1237
"Jun
2021",146.79,BOS,FLL,1237
"Jun
2021",202.79,BOS,FLL,1237
"Jun
2021",122.35,BOS,FLL,1237
"Jul
2021",168.98,BOS,FLL,1237
"Jul
2021",108,BOS,FLL,1237
"Jul
2021",104.36,BOS,FLL,1237
"Jul
2021",85.18,BOS,FLL,1237
"Aug
2021",154.14,BOS,FLL,1237
"Aug
2021",154.14,BOS,FLL,1237
"Aug
2021",85.18,BOS,FLL,1237
"Aug
2021",124.56,BOS,FLL,1237
year,price,origin,destination,distance
"Mar
2009",291.2,BOS,IAD,413
"Apr
2009",180,BOS,IAD,413
"Apr
2009",304.8,BOS,IAD,413
"Apr
2009",267.39,BOS,IAD,413
"May
2009",175,BOS,IAD,413
"May
2009",195,BOS,IAD,413
"May
2009",140,BOS,IAD,413
"Jun
2009",152,BOS,IAD,413
"Jun
2009",165,BOS,IAD,413
"Jun
2009",225,BOS,IAD,413
"Jul
2009",278,BOS,IAD,413
"Aug
2009",173,BOS,IAD,413
"Sep
2009",186.4,BOS,IAD,413
"Sep
2009",288.2,BOS,IAD,413
"Oct
2009",229.2,BOS,IAD,413
"Oct
2009",383.2,BOS,IAD,413
"Nov
2009",159.2,BOS,IAD,413
"Nov
2009",300.4,BOS,IAD,413
"Nov
2009",239.2,BOS,IAD,413
"Dec
2009",169.2,BOS,IAD,413
"Dec
2009",238.2,BOS,IAD,413
"Dec
2009",239.2,BOS,IAD,413
"Jan
2010",239,BOS,IAD,413
"Jan
2010",250.8,BOS,IAD,413
"Jan
2010",195,BOS,IAD,413
"Feb
2010",252.4,BOS,IAD,413
"Mar
2010",210,BOS,IAD,413
"Mar
2010",172.788,BOS,IAD,413
"Apr
2010",335.9,BOS,IAD,413
"Apr
2010",346.1,BOS,IAD,413
"Apr
2010",342,BOS,IAD,413
year,price,origin,destination,distance
"Nov
2020",137.96,BOS,IAH,1597
"Nov
2020",186.66,BOS,IAH,1597
"Dec
2020",236.76,BOS,IAH,1597
"Dec
2020",466.18,BOS,IAH,1597
"Jan
2021",106.16,BOS,IAH,1597
"Jan
2021",57.58,BOS,IAH,1597
"Feb
2021",105.18,BOS,IAH,1597
"Feb
2021",106.18,BOS,IAH,1597
"Feb
2021",145.57,BOS,IAH,1597
"Mar
2021",176.54,BOS,IAH,1597
"Mar
2021",83.39,BOS,IAH,1597
"Apr
2021",194.54,BOS,IAH,1597
"Apr
2021",121.38,BOS,IAH,1597
"Apr
2021",93.39,BOS,IAH,1597
"May
2021",129.38,BOS,IAH,1597
"May
2021",184.39,BOS,IAH,1597
"Jun
2021",393.56,BOS,IAH,1597
"Jun
2021",266.37,BOS,IAH,1597
"Jul
2021",269.37,BOS,IAH,1597
"Jul
2021",351.74,BOS,IAH,1597
"Aug
2021",246.35,BOS,IAH,1597
"Sep
2021",208.36,BOS,IAH,1597
"Oct
2021",111.38,BOS,IAH,1597
year,price,origin,destination,distance
"Nov
2020",126.2,BOS,JFK,187
"Nov
2020",135.2,BOS,JFK,187
"Nov
2020",168.2,BOS,JFK,187
"Nov
2020",127.2,BOS,JFK,187
"Dec
2020",150.2,BOS,JFK,187
"Dec
2020",150.2,BOS,JFK,187
"Dec
2020",311.2,BOS,JFK,187
"Feb
2021",827.8,BOS,JFK,187
"Feb
2021",824.8,BOS,JFK,187
"Feb
2021",727.8,BOS,JFK,187
"Mar
2021",598.41,BOS,JFK,187
"Mar
2021",957.81,BOS,JFK,187
"Mar
2021",927.8,BOS,JFK,187
"Apr
2021",953.4,BOS,JFK,187
"May
2021",973.4,BOS,JFK,187
"May
2021",1017.8,BOS,JFK,187
"Jun
2021",857.8,BOS,JFK,187
"Jun
2021",967.79,BOS,JFK,187
"Jun
2021",973.4,BOS,JFK,187
"Jun
2021",947.8,BOS,JFK,187
"Jul
2021",1347.81,BOS,JFK,187
"Aug
2021",1397.8,BOS,JFK,187
"Aug
2021",1387.81,BOS,JFK,187
year,price,origin,destiantion,distance
"Nov
2020",132.18,BOS,LAS,2381
"Nov
2020",132.18,BOS,LAS,2381
"Dec
2020",168.67,BOS,LAS,2381
"Dec
2020",112.18,BOS,LAS,2381
"Jan
2021",157.16,BOS,LAS,2381
"Jan
2021",112.18,BOS,LAS,2381
"Jan
2021",129.16,BOS,LAS,2381
"Jan
2021",112.18,BOS,LAS,2381
"Feb
2021",153.67,BOS,LAS,2381
"Feb
2021",150.37,BOS,LAS,2381
"Feb
2021",150.37,BOS,LAS,2381
"Feb
2021",122.13,BOS,LAS,2381
"Mar
2021",154.38,BOS,LAS,2381
"Mar
2021",187.57,BOS,LAS,2381
"Apr
2021",104.39,BOS,LAS,2381
"Apr
2021",122.78,BOS,LAS,2381
"May
2021",277.36,BOS,LAS,2381
"May
2021",302.36,BOS,LAS,2381
