year,price,,,
"Sep
2021",110.59,ATL,DEN,1199
year,price,,,
"Nov
2020",96.09,ATL,DFW,731
"Nov
2020",204.67,ATL,DFW,731
"Dec
2020",67.67,ATL,DFW,731
"Dec
2020",75.67,ATL,DFW,731
"Jan
2021",52.18,ATL,DFW,731
"Jan
2021",64.18,ATL,DFW,731
"Feb
2021",62.79,ATL,DFW,731
"Feb
2021",60.98,ATL,DFW,731
"Mar
2021",115.79,ATL,DFW,731
"Mar
2021",76.62,ATL,DFW,731
"Apr
2021",48.39,ATL,DFW,731
"Apr
2021",48.88,ATL,DFW,731
"Apr
2021",57.79,ATL,DFW,731
"May
2021",53.4,ATL,DFW,731
"May
2021",69.79,ATL,DFW,731
"Jun
2021",152.78,ATL,DFW,731
"Jun
2021",113.54,ATL,DFW,731
"Jun
2021",136.77,ATL,DFW,731
"Jul
2021",164.78,ATL,DFW,731
"Jul
2021",119.15,ATL,DFW,731
"Jul
2021",133.25,ATL,DFW,731
"Aug
2021",92.26,ATL,DFW,731
"Aug
2021",73.08,ATL,DFW,731
year,price,,,
"Nov
2020",91.67,ATL,DTW,594
"Nov
2020",88.68,ATL,DTW,594
"Nov
2020",130.17,ATL,DTW,594
"Dec
2020",113.38,ATL,DTW,594
"Dec
2020",93.18,ATL,DTW,594
"Jan
2021",88.68,ATL,DTW,594
"Jan
2021",89.99,ATL,DTW,594
"Feb
2021",59.6,ATL,DTW,594
"Mar
2021",60.18,ATL,DTW,594
"Apr
2021",60.98,ATL,DTW,594
"May
2021",102.98,ATL,DTW,594
"May
2021",60.98,ATL,DTW,594
"May
2021",119.13,ATL,DTW,594
"Jun
2021",92.87,ATL,DTW,594
"Jul
2021",92.87,ATL,DTW,594
"Jul
2021",60.98,ATL,DTW,594
"Aug
2021",107.98,ATL,DTW,594
"Sep
2021",65.79,ATL,DTW,594
year,price,,,
"Nov
2020",64.18,ATL,EWR,746
"Nov
2020",64.18,ATL,EWR,746
"Dec
2020",64.18,ATL,EWR,746
"Jan
2021",76.18,ATL,EWR,746
"Jan
2021",52.18,ATL,EWR,746
"Jan
2021",64.18,ATL,EWR,746
"Feb
2021",76.18,ATL,EWR,746
